"CAEN.Rev.2...activitati.ale.economiei.nationale...sectiuni.si.diviziuni.","Luni","UM..Lei.RON","Valoare"
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna decembrie 2016"," Lei RON",3550
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna ianuarie 2017"," Lei RON",2710
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna februarie 2017"," Lei RON",2739
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna martie 2017"," Lei RON",2830
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna aprilie 2017"," Lei RON",3007
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna mai 2017"," Lei RON",3429
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna iunie 2017"," Lei RON",2961
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna iulie 2017"," Lei RON",3456
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna august 2017"," Lei RON",3411
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna septembrie 2017"," Lei RON",3318
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna octombrie 2017"," Lei RON",3305
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna noiembrie 2017"," Lei RON",3284
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna decembrie 2017"," Lei RON",3891
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna ianuarie 2018"," Lei RON",3901
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna februarie 2018"," Lei RON",3892
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna martie 2018"," Lei RON",4020
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna aprilie 2018"," Lei RON",4296
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna mai 2018"," Lei RON",4638
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna iunie 2018"," Lei RON",4376
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna iulie 2018"," Lei RON",4221
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna august 2018"," Lei RON",4187
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna septembrie 2018"," Lei RON",4041
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna octombrie 2018"," Lei RON",4120
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna noiembrie 2018"," Lei RON",6344
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna decembrie 2018"," Lei RON",6178
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna ianuarie 2019"," Lei RON",4289
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna februarie 2019"," Lei RON",4334
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna martie 2019"," Lei RON",4369
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna aprilie 2019"," Lei RON",4832
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna mai 2019"," Lei RON",4695
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna iunie 2019"," Lei RON",4674
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna iulie 2019"," Lei RON",4874
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna august 2019"," Lei RON",4624
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna septembrie 2019"," Lei RON",4447
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna octombrie 2019"," Lei RON",4547
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna noiembrie 2019"," Lei RON",4467
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna decembrie 2019"," Lei RON",4974
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna ianuarie 2020"," Lei RON",4391
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna februarie 2020"," Lei RON",4360
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna martie 2020"," Lei RON",4396
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna aprilie 2020"," Lei RON",4114
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna mai 2020"," Lei RON",4247
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna iunie 2020"," Lei RON",4452
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna iulie 2020"," Lei RON",4947
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna august 2020"," Lei RON",4887
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna septembrie 2020"," Lei RON",5013
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna octombrie 2020"," Lei RON",5139
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna noiembrie 2020"," Lei RON",5143
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna decembrie 2020"," Lei RON",5849
